Month,Season,State,High,Low,Precipitation,TempRange,HighLowMean
5,Spring,Texas,29.8,16.4,8.3,13.4,23.1
5,Spring,Utah,20.9,5.6,3.3,15.3,13.25
5,Spring,Vermont,18.5,5.2,10.1,13.3,11.85
5,Spring,Virginia,24.1,11.2,10.9,12.9,17.65
5,Spring,Washington,17.9,5.3,6.3,12.6,11.6
5,Spring,West Virginia,23,9.3,12.4,13.7,16.15
5,Spring,Wisconsin,19.5,6.4,10,13.1,12.95
5,Spring,Wyoming,16.7,2.2,6.1,14.5,9.45
6,Summer,Alabama,31.3,19.3,12.5,12,25.3
6,Summer,Alaska,15.5,5.5,6.1,10,10.5
6,Summer,Arizona,33.9,15.5,0.5,18.4,24.7
6,Summer,Arkansas,30.8,19.3,10,11.5,25.05
6,Summer,California,29.1,13.1,0.9,16,21.1
6,Summer,Colorado,25.7,8.7,3.7,17,17.2
6,Summer,Connecticut,25.4,13.3,11.1,12.1,19.35
6,Summer,Delaware,28.2,16.9,10.4,11.3,22.55
6,Summer,Florida,32.4,21.6,19.4,10.8,27
6,Summer,Georgia,31.4,19.3,12.6,12.1,25.35
6,Summer,Hawaii,27.8,20.3,5.6,7.5,24.05
6,Summer,Idaho,21.8,6.5,4.6,15.3,14.15
6,Summer,Illinois,28.3,16.4,11.8,11.9,22.35
6,Summer,Indiana,27.8,15.8,12.2,12,21.8
6,Summer,Iowa,27,15.1,13.4,11.9,21.05
6,Summer,Kansas,30.4,16.5,10.3,13.9,23.45
6,Summer,Kentucky,28.9,16.6,12,12.3,22.75
6,Summer,Louisiana,32.1,21.5,14,10.6,26.8
6,Summer,Maine,22.3,9.7,11.1,12.6,16
6,Summer,Maryland,28.1,16.5,10.7,11.6,22.3
6,Summer,Massachusetts,24.7,12.7,10.9,12,18.7
6,Summer,Michigan,24.6,11.6,8.7,13,18.1
6,Summer,Minnesota,24.4,12,11.3,12.4,18.2
6,Summer,Mississippi,31.7,20,12,11.7,25.85
6,Summer,Missouri,29,17.2,11.7,11.8,23.1
6,Summer,Montana,22,7.6,7.3,14.4,14.8
6,Summer,Nebraska,27.7,13.5,9.6,14.2,20.6
6,Summer,Nevada,27.4,10,1.5,17.4,18.7
6,Summer,New Hampshire,23.5,10.5,11.6,13,17
6,Summer,New Jersey,27.2,15.3,10.9,11.9,21.25
6,Summer,New Mexico,31,12.4,2.6,18.6,21.7
6,Summer,New York,24.1,11.9,10.9,12.2,18
6,Summer,North Carolina,29.4,17.7,12,11.7,23.55
6,Summer,North Dakota,24.2,11,8.8,13.2,17.6
6,Summer,Ohio,27.1,14.9,11.1,12.2,21
6,Summer,Oklahoma,31.5,18.8,10.8,12.7,25.15
6,Summer,Oregon,22.1,7,3.7,15.1,14.55
6,Summer,Pennsylvania,25.7,13.1,11.2,12.6,19.4
6,Summer,Rhode Island,24.6,13.7,10,10.9,19.15
6,Summer,South Carolina,31.3,19.4,12.2,11.9,25.35
6,Summer,South Dakota,25.9,12.3,9,13.6,19.1
6,Summer,Tennessee,29.4,17.4,12,12,23.4
6,Summer,Texas,33.5,20.4,7.9,13.1,26.95
6,Summer,Utah,27.3,10.4,1.7,16.9,18.85
6,Summer,Vermont,23.1,10.3,11.9,12.8,16.7
6,Summer,Virginia,28.1,16,11.2,12.1,22.05
6,Summer,Washington,21,8.2,4.9,12.8,14.6
6,Summer,West Virginia,26.7,14,11.9,12.7,20.35
6,Summer,Wisconsin,24.7,12.1,11.9,12.6,18.4
6,Summer,Wyoming,22.9,6.7,4.4,16.2,14.8
7,Summer,Alabama,32.6,21.1,13.1,11.5,26.85
7,Summer,Alaska,16.8,7.7,8.8,9.1,12.25
7,Summer,Arizona,35.1,19.3,4.1,15.8,27.2
7,Summer,Arkansas,32.8,21.1,9.9,11.7,26.95
7,Summer,California,32.7,16.4,0.5,16.3,24.55
7,Summer,Colorado,28.6,12,5.4,16.6,20.3
7,Summer,Connecticut,28.3,16.5,10.3,11.8,22.4
7,Summer,Delaware,30.7,19.7,11.2,11,25.2
7,Summer,Florida,33.1,22.7,18.3,10.4,27.9
7,Summer,Georgia,32.8,21.1,12.7,11.7,26.95
7,Summer,Hawaii,28.5,21,6.6,7.5,24.75
7,Summer,Idaho,27.9,10.3,1.8,17.6,19.1
7,Summer,Illinois,29.9,18.4,10.3,11.5,24.15
7,Summer,Indiana,29.3,17.6,10.9,11.7,23.45
7,Summer,Iowa,28.8,17.2,10.6,11.6,23
7,Summer,Kansas,33.1,19.2,9.8,13.9,26.15
7,Summer,Kentucky,30.6,18.8,12.3,11.8,24.7
7,Summer,Louisiana,33.3,22.7,13.5,10.6,28
7,Summer,Maine,25.1,13,10.2,12.1,19.05
7,Summer,Maryland,30.5,19.2,11.2,11.3,24.85
7,Summer,Massachusetts,27.7,15.9,9.7,11.8,21.8
7,Summer,Michigan,26.9,14,8.5,12.9,20.45
7,Summer,Minnesota,26.7,14.5,10.1,12.2,20.6
7,Summer,Mississippi,32.9,21.6,12.7,11.3,27.25
7,Summer,Missouri,31.2,19.4,10.9,11.8,25.3
7,Summer,Montana,27.6,10.9,3.9,16.7,19.25
7,Summer,Nebraska,30.7,16.4,8.1,14.3,23.55
7,Summer,Nevada,32.2,14.3,1.3,17.9,23.25
7,Summer,New Hampshire,26.2,13.4,11.4,12.8,19.8
7,Summer,New Jersey,29.8,18.4,12,11.4,24.1
7,Summer,New Mexico,31.5,15.3,6.2,16.2,23.4
7,Summer,New York,26.5,14.6,10.5,11.9,20.55
7,Summer,North Carolina,31.1,19.9,13.1,11.2,25.5
7,Summer,North Dakota,27.5,13.6,7.5,13.9,20.55
7,Summer,Ohio,28.9,17,10.6,11.9,22.95
7,Summer,Oklahoma,34.3,21.2,8.1,13.1,27.75
7,Summer,Oregon,27.9,10.5,1.2,17.4,19.2
7,Summer,Pennsylvania,27.9,15.6,11.2,12.3,21.75
7,Summer,Rhode Island,27.7,17.1,8.6,10.6,22.4
7,Summer,South Carolina,33,21.3,12.5,11.7,27.15
7,Summer,South Dakota,29.8,15.4,7.2,14.4,22.6
7,Summer,Tennessee,31.1,19.5,11.9,11.6,25.3
